Region,Main_Sector,Year,Price_Type,Sector_GRDP
Caraga,"Agriculture, forestry, and fishing",2004,At Constant 2018 Prices,33816483.0
Caraga,"Agriculture, forestry, and fishing",2004,At Current Prices,20587739.0
Caraga,"Agriculture, forestry, and fishing",2005,At Constant 2018 Prices,36291727.0
Caraga,"Agriculture, forestry, and fishing",2005,At Current Prices,22733172.0
Caraga,"Agriculture, forestry, and fishing",2006,At Constant 2018 Prices,36637329.0
Caraga,"Agriculture, forestry, and fishing",2006,At Current Prices,24181172.0
Caraga,"Agriculture, forestry, and fishing",2007,At Constant 2018 Prices,38794832.0
Caraga,"Agriculture, forestry, and fishing",2007,At Current Prices,26845835.0
Caraga,"Agriculture, forestry, and fishing",2008,At Constant 2018 Prices,38825660.0
Caraga,"Agriculture, forestry, and fishing",2008,At Current Prices,31209714.0
Caraga,"Agriculture, forestry, and fishing",2009,At Constant 2018 Prices,36236723.0
Caraga,"Agriculture, forestry, and fishing",2009,At Current Prices,30651488.0
Caraga,"Agriculture, forestry, and fishing",2010,At Constant 2018 Prices,35880981.0
Caraga,"Agriculture, forestry, and fishing",2010,At Current Prices,29171589.0
Caraga,"Agriculture, forestry, and fishing",2011,At Constant 2018 Prices,36239669.0
Caraga,"Agriculture, forestry, and fishing",2011,At Current Prices,30839040.0
Caraga,"Agriculture, forestry, and fishing",2012,At Constant 2018 Prices,38268413.0
Caraga,"Agriculture, forestry, and fishing",2012,At Current Prices,33263550.0
Caraga,"Agriculture, forestry, and fishing",2013,At Constant 2018 Prices,42012895.0
Caraga,"Agriculture, forestry, and fishing",2013,At Current Prices,34546918.0
Caraga,"Agriculture, forestry, and fishing",2014,At Constant 2018 Prices,42477535.0
Caraga,"Agriculture, forestry, and fishing",2014,At Current Prices,39315140.0
Caraga,"Agriculture, forestry, and fishing",2015,At Constant 2018 Prices,38985172.0
Caraga,"Agriculture, forestry, and fishing",2015,At Current Prices,34832145.0
Caraga,"Agriculture, forestry, and fishing",2016,At Constant 2018 Prices,38320564.0
Caraga,"Agriculture, forestry, and fishing",2016,At Current Prices,36098282.0
Caraga,"Agriculture, forestry, and fishing",2017,At Constant 2018 Prices,38995364.0
Caraga,"Agriculture, forestry, and fishing",2017,At Current Prices,38494878.0
Caraga,"Agriculture, forestry, and fishing",2018,At Constant 2018 Prices,40509755.0
Caraga,"Agriculture, forestry, and fishing",2018,At Current Prices,40509755.0
Caraga,"Agriculture, forestry, and fishing",2019,At Constant 2018 Prices,39032010.0
Caraga,"Agriculture, forestry, and fishing",2019,At Current Prices,39889432.0
Caraga,"Agriculture, forestry, and fishing",2020,At Constant 2018 Prices,40340995.0
Caraga,"Agriculture, forestry, and fishing",2020,At Current Prices,43617592.0
Caraga,"Agriculture, forestry, and fishing",2021,At Constant 2018 Prices,38488691.0
Caraga,"Agriculture, forestry, and fishing",2021,At Current Prices,44613563.0
Caraga,"Agriculture, forestry, and fishing",2022,At Constant 2018 Prices,74845638.0
Caraga,"Agriculture, forestry, and fishing",2022,At Current Prices,94995914.0
Caraga,"Agriculture, forestry, and fishing",2023,At Constant 2018 Prices,74703563.0
Caraga,"Agriculture, forestry, and fishing",2023,At Current Prices,94929880.0
Caraga,"Agriculture, forestry, and fishing",2024,At Constant 2018 Prices,38517633.0
Caraga,"Agriculture, forestry, and fishing",2024,At Current Prices,49905943.0
Caraga,Gross Domestic Product,2000,At Constant 2018 Prices,96921630.0
Caraga,Gross Domestic Product,2000,At Current Prices,52357709.0
Caraga,Gross Domestic Product,2001,At Constant 2018 Prices,101609542.0
Caraga,Gross Domestic Product,2001,At Current Prices,56225051.0
Caraga,Gross Domestic Product,2002,At Constant 2018 Prices,107557223.0
Caraga,Gross Domestic Product,2002,At Current Prices,62421224.0
Caraga,Gross Domestic Product,2003,At Constant 2018 Prices,112632685.0
Caraga,Gross Domestic Product,2003,At Current Prices,68343455.0
Caraga,Gross Domestic Product,2004,At Constant 2018 Prices,119223129.0
Caraga,Gross Domestic Product,2004,At Current Prices,77441587.0
Caraga,Gross Domestic Product,2005,At Constant 2018 Prices,124555442.0
Caraga,Gross Domestic Product,2005,At Current Prices,84420023.0
Caraga,Gross Domestic Product,2006,At Constant 2018 Prices,132729349.0
Caraga,Gross Domestic Product,2006,At Current Prices,95817471.0
Caraga,Gross Domestic Product,2007,At Constant 2018 Prices,141280994.0
Caraga,Gross Domestic Product,2007,At Current Prices,111530938.0
Caraga,Gross Domestic Product,2008,At Constant 2018 Prices,145216552.0
Caraga,Gross Domestic Product,2008,At Current Prices,119394512.0
Caraga,Gross Domestic Product,2009,At Constant 2018 Prices,148064425.0
Caraga,Gross Domestic Product,2009,At Current Prices,125030284.0
Caraga,Gross Domestic Product,2010,At Constant 2018 Prices,163468004.0
Caraga,Gross Domestic Product,2010,At Current Prices,143337552.0
Caraga,Gross Domestic Product,2011,At Constant 2018 Prices,174932167.0
Caraga,Gross Domestic Product,2011,At Current Prices,156504793.0
Caraga,Gross Domestic Product,2012,At Constant 2018 Prices,193102956.0
Caraga,Gross Domestic Product,2012,At Current Prices,180393968.0
Caraga,Gross Domestic Product,2013,At Constant 2018 Prices,211269822.0
Caraga,Gross Domestic Product,2013,At Current Prices,194874139.0
Caraga,Gross Domestic Product,2014,At Constant 2018 Prices,230076396.0
Caraga,Gross Domestic Product,2014,At Current Prices,223865240.0
Caraga,Gross Domestic Product,2015,At Constant 2018 Prices,245363390.0
Caraga,Gross Domestic Product,2015,At Current Prices,235177755.0
Caraga,Gross Domestic Product,2016,At Constant 2018 Prices,260522888.0
Caraga,Gross Domestic Product,2016,At Current Prices,251476878.0
Caraga,Gross Domestic Product,2017,At Constant 2018 Prices,276299208.0
Caraga,Gross Domestic Product,2017,At Current Prices,273088164.0
Caraga,Gross Domestic Product,2018,At Constant 2018 Prices,290561794.0
Caraga,Gross Domestic Product,2018,At Current Prices,290561794.0
Caraga,Gross Domestic Product,2019,At Constant 2018 Prices,306260878.0
Caraga,Gross Domestic Product,2019,At Current Prices,302930146.0
Caraga,Gross Domestic Product,2020,At Constant 2018 Prices,285001928.0
Caraga,Gross Domestic Product,2020,At Current Prices,292574562.0
Caraga,Gross Domestic Product,2021,At Constant 2018 Prices,305704709.0
Caraga,Gross Domestic Product,2021,At Current Prices,331856215.0
Caraga,Gross Domestic Product,2022,At Constant 2018 Prices,647786490.0
Caraga,Gross Domestic Product,2022,At Current Prices,753687732.0
Caraga,Gross Domestic Product,2023,At Constant 2018 Prices,679103031.0
Caraga,Gross Domestic Product,2023,At Current Prices,812123784.0
Caraga,Gross Domestic Product,2024,At Constant 2018 Prices,362766539.0
Caraga,Gross Domestic Product,2024,At Current Prices,439146876.0
Caraga,Industry,2000,At Constant 2018 Prices,28687261.0
Caraga,Industry,2000,At Current Prices,17705822.0
Caraga,Industry,2001,At Constant 2018 Prices,28871656.0
Caraga,Industry,2001,At Current Prices,19090923.0
Caraga,Industry,2002,At Constant 2018 Prices,28759216.0
Caraga,Industry,2002,At Current Prices,19584544.0
Caraga,Industry,2003,At Constant 2018 Prices,27597904.0
Caraga,Industry,2003,At Current Prices,19790719.0
Caraga,Industry,2004,At Constant 2018 Prices,28453342.0
Caraga,Industry,2004,At Current Prices,21652291.0
Caraga,Industry,2005,At Constant 2018 Prices,29777260.0
Caraga,Industry,2005,At Current Prices,23817189.0
Caraga,Industry,2006,At Constant 2018 Prices,35056725.0
Caraga,Industry,2006,At Current Prices,31122110.0
Caraga,Industry,2007,At Constant 2018 Prices,39020773.0
Caraga,Industry,2007,At Current Prices,40472032.0
Caraga,Industry,2008,At Constant 2018 Prices,42552322.0
Caraga,Industry,2008,At Current Prices,39617394.0
Caraga,Industry,2009,At Constant 2018 Prices,47872190.0
Caraga,Industry,2009,At Current Prices,44800741.0
Caraga,Industry,2010,At Constant 2018 Prices,56899729.0
Caraga,Industry,2010,At Current Prices,57097570.0
Caraga,Industry,2011,At Constant 2018 Prices,62969753.0
Caraga,Industry,2011,At Current Prices,61388512.0
Caraga,Industry,2012,At Constant 2018 Prices,71011843.0
Caraga,Industry,2012,At Current Prices,72996778.0
Caraga,Industry,2013,At Constant 2018 Prices,76939702.0
Caraga,Industry,2013,At Current Prices,75936009.0
Caraga,Industry,2014,At Constant 2018 Prices,86441057.0
Caraga,Industry,2014,At Current Prices,89396368.0
Caraga,Industry,2015,At Constant 2018 Prices,97947322.0
Caraga,Industry,2015,At Current Prices,96401912.0
Caraga,Industry,2016,At Constant 2018 Prices,101064888.0
Caraga,Industry,2016,At Current Prices,97203272.0
Caraga,Industry,2017,At Constant 2018 Prices,106727011.0
Caraga,Industry,2017,At Current Prices,105485979.0
Caraga,Industry,2018,At Constant 2018 Prices,108829764.0
Caraga,Industry,2018,At Current Prices,108829764.0
Caraga,Industry,2019,At Constant 2018 Prices,110668609.0
Caraga,Industry,2019,At Current Prices,106318905.0
Caraga,Industry,2020,At Constant 2018 Prices,96385608.0
Caraga,Industry,2020,At Current Prices,94350545.0
Caraga,Industry,2021,At Constant 2018 Prices,106750207.0
Caraga,Industry,2021,At Current Prices,115957716.0
Caraga,Industry,2022,At Constant 2018 Prices,222067904.0
Caraga,Industry,2022,At Current Prices,270598846.0
Caraga,Industry,2023,At Constant 2018 Prices,227142799.0
Caraga,Industry,2023,At Current Prices,282227470.0
Caraga,Industry,2024,At Constant 2018 Prices,120551865.0
Caraga,Industry,2024,At Current Prices,147613033.0
Caraga,Services,2000,At Constant 2018 Prices,40670092.0
Caraga,Services,2000,At Current Prices,20658120.0
Caraga,Services,2001,At Constant 2018 Prices,44050259.0
Caraga,Services,2001,At Current Prices,23976748.0
Caraga,Services,2002,At Constant 2018 Prices,48714599.0
Caraga,Services,2002,At Current Prices,27385973.0
Caraga,Services,2003,At Constant 2018 Prices,53808672.0
Caraga,Services,2003,At Current Prices,32237338.0
Caraga,Services,2004,At Constant 2018 Prices,58206182.0
Caraga,Services,2004,At Current Prices,36017013.0
Caraga,Services,2005,At Constant 2018 Prices,59837573.0
Caraga,Services,2005,At Current Prices,38787656.0
Caraga,Services,2006,At Constant 2018 Prices,62492341.0
Caraga,Services,2006,At Current Prices,41538241.0
Caraga,Services,2007,At Constant 2018 Prices,65206431.0
Caraga,Services,2007,At Current Prices,45472847.0
Caraga,Services,2008,At Constant 2018 Prices,65646812.0
Caraga,Services,2008,At Current Prices,49963424.0
Caraga,Services,2009,At Constant 2018 Prices,65886321.0
Caraga,Services,2009,At Current Prices,51158878.0
Caraga,Services,2010,At Constant 2018 Prices,72939391.0
Caraga,Services,2010,At Current Prices,58984031.0
Caraga,Services,2011,At Constant 2018 Prices,78124676.0
Caraga,Services,2011,At Current Prices,66347604.0
Caraga,Services,2012,At Constant 2018 Prices,86692263.0
Caraga,Services,2012,At Current Prices,76684461.0
Caraga,Services,2013,At Constant 2018 Prices,95813472.0
Caraga,Services,2013,At Current Prices,87643164.0
Caraga,Services,2014,At Constant 2018 Prices,105762162.0
Caraga,Services,2014,At Current Prices,99566410.0
Caraga,Services,2015,At Constant 2018 Prices,112806170.0
Caraga,Services,2015,At Current Prices,108263223.0
Caraga,Services,2016,At Constant 2018 Prices,126432107.0
Caraga,Services,2016,At Current Prices,123425804.0
Caraga,Services,2017,At Constant 2018 Prices,135773905.0
Caraga,Services,2017,At Current Prices,134321843.0
Caraga,Services,2018,At Constant 2018 Prices,146657597.0
Caraga,Services,2018,At Current Prices,146657597.0
Caraga,Services,2019,At Constant 2018 Prices,162534478.0
Caraga,Services,2019,At Current Prices,162879863.0
Caraga,Services,2020,At Constant 2018 Prices,152845099.0
Caraga,Services,2020,At Current Prices,159528854.0
Caraga,Services,2021,At Constant 2018 Prices,165146328.0
Caraga,Services,2021,At Current Prices,176454812.0
Caraga,Services,2022,At Constant 2018 Prices,361372808.0
Caraga,Services,2022,At Current Prices,399715130.0
Caraga,Services,2023,At Constant 2018 Prices,389679086.0
Caraga,Services,2023,At Current Prices,449209793.0
Caraga,Services,2024,At Constant 2018 Prices,210475739.0
Caraga,Services,2024,At Current Prices,249775420.0
Central Luzon,"Agriculture, forestry, and fishing",2000,At Constant 2018 Prices,132530764.0
Central Luzon,"Agriculture, forestry, and fishing",2000,At Current Prices,71958531.0
Central Luzon,"Agriculture, forestry, and fishing",2001,At Constant 2018 Prices,146797987.0
Central Luzon,"Agriculture, forestry, and fishing",2001,At Current Prices,81357920.0
Central Luzon,"Agriculture, forestry, and fishing",2002,At Constant 2018 Prices,151999066.0
Central Luzon,"Agriculture, forestry, and fishing",2002,At Current Prices,87398534.0
Central Luzon,"Agriculture, forestry, and fishing",2003,At Constant 2018 Prices,158685055.0
Central Luzon,"Agriculture, forestry, and fishing",2003,At Current Prices,90001504.0
Central Luzon,"Agriculture, forestry, and fishing",2004,At Constant 2018 Prices,160039182.0
Central Luzon,"Agriculture, forestry, and fishing",2004,At Current Prices,102328281.0
Central Luzon,"Agriculture, forestry, and fishing",2005,At Constant 2018 Prices,169295348.0
Central Luzon,"Agriculture, forestry, and fishing",2005,At Current Prices,116960569.0
Central Luzon,"Agriculture, forestry, and fishing",2006,At Constant 2018 Prices,178509204.0
Central Luzon,"Agriculture, forestry, and fishing",2006,At Current Prices,125635426.0
Central Luzon,"Agriculture, forestry, and fishing",2007,At Constant 2018 Prices,190684357.0
Central Luzon,"Agriculture, forestry, and fishing",2007,At Current Prices,139583858.0
Central Luzon,"Agriculture, forestry, and fishing",2008,At Constant 2018 Prices,197616070.0
Central Luzon,"Agriculture, forestry, and fishing",2008,At Current Prices,170329974.0
Central Luzon,"Agriculture, forestry, and fishing",2009,At Constant 2018 Prices,194328813.0
Central Luzon,"Agriculture, forestry, and fishing",2009,At Current Prices,177625590.0
Central Luzon,"Agriculture, forestry, and fishing",2010,At Constant 2018 Prices,191948453.0
Central Luzon,"Agriculture, forestry, and fishing",2010,At Current Prices,186928048.0
Central Luzon,"Agriculture, forestry, and fishing",2011,At Constant 2018 Prices,189721097.0
Central Luzon,"Agriculture, forestry, and fishing",2011,At Current Prices,192192700.0
Central Luzon,"Agriculture, forestry, and fishing",2012,At Constant 2018 Prices,217527630.0
Central Luzon,"Agriculture, forestry, and fishing",2012,At Current Prices,204897786.0
Central Luzon,"Agriculture, forestry, and fishing",2013,At Constant 2018 Prices,234855273.0
Central Luzon,"Agriculture, forestry, and fishing",2013,At Current Prices,225116693.0
Central Luzon,"Agriculture, forestry, and fishing",2014,At Constant 2018 Prices,247472457.0
Central Luzon,"Agriculture, forestry, and fishing",2014,At Current Prices,256243849.0
Central Luzon,"Agriculture, forestry, and fishing",2015,At Constant 2018 Prices,250465990.0
Central Luzon,"Agriculture, forestry, and fishing",2015,At Current Prices,231770789.0
Central Luzon,"Agriculture, forestry, and fishing",2016,At Constant 2018 Prices,252211653.0
Central Luzon,"Agriculture, forestry, and fishing",2016,At Current Prices,228110146.0
Central Luzon,"Agriculture, forestry, and fishing",2017,At Constant 2018 Prices,261996271.0
Central Luzon,"Agriculture, forestry, and fishing",2017,At Current Prices,254379766.0
Central Luzon,"Agriculture, forestry, and fishing",2018,At Constant 2018 Prices,266500392.0
Central Luzon,"Agriculture, forestry, and fishing",2018,At Current Prices,266500392.0
Central Luzon,"Agriculture, forestry, and fishing",2019,At Constant 2018 Prices,267583728.0
Central Luzon,"Agriculture, forestry, and fishing",2019,At Current Prices,231944950.0
Central Luzon,"Agriculture, forestry, and fishing",2020,At Constant 2018 Prices,254234410.0
Central Luzon,"Agriculture, forestry, and fishing",2020,At Current Prices,245519116.0
Central Luzon,"Agriculture, forestry, and fishing",2021,At Constant 2018 Prices,239036190.0
Central Luzon,"Agriculture, forestry, and fishing",2021,At Current Prices,260135779.0
Central Luzon,"Agriculture, forestry, and fishing",2022,At Constant 2018 Prices,488290230.0
Central Luzon,"Agriculture, forestry, and fishing",2022,At Current Prices,569115170.0
Central Luzon,"Agriculture, forestry, and fishing",2023,At Constant 2018 Prices,500022542.0
Central Luzon,"Agriculture, forestry, and fishing",2023,At Current Prices,636420047.0
Central Luzon,"Agriculture, forestry, and fishing",2024,At Constant 2018 Prices,248759760.0
Central Luzon,"Agriculture, forestry, and fishing",2024,At Current Prices,328988022.0
Central Luzon,Gross Domestic Product,2000,At Constant 2018 Prices,707245644.0
Central Luzon,Gross Domestic Product,2000,At Current Prices,368786804.0
Central Luzon,Gross Domestic Product,2001,At Constant 2018 Prices,749289527.0
Central Luzon,Gross Domestic Product,2001,At Current Prices,406500228.0
Central Luzon,Gross Domestic Product,2002,At Constant 2018 Prices,791683392.0
Central Luzon,Gross Domestic Product,2002,At Current Prices,452337803.0
Central Luzon,Gross Domestic Product,2003,At Constant 2018 Prices,826169061.0
Central Luzon,Gross Domestic Product,2003,At Current Prices,494424474.0
Central Luzon,Gross Domestic Product,2004,At Constant 2018 Prices,852296755.0
Central Luzon,Gross Domestic Product,2004,At Current Prices,548718978.0
Central Luzon,Gross Domestic Product,2005,At Constant 2018 Prices,885593565.0
Central Luzon,Gross Domestic Product,2005,At Current Prices,610192972.0
Central Luzon,Gross Domestic Product,2006,At Constant 2018 Prices,927301530.0
Central Luzon,Gross Domestic Product,2006,At Current Prices,668848239.0
Central Luzon,Gross Domestic Product,2007,At Constant 2018 Prices,981902705.0
Central Luzon,Gross Domestic Product,2007,At Current Prices,721803908.0
Central Luzon,Gross Domestic Product,2008,At Constant 2018 Prices,1032623864.0
Central Luzon,Gross Domestic Product,2008,At Current Prices,832147448.0
Central Luzon,Gross Domestic Product,2009,At Constant 2018 Prices,1039474095.0
Central Luzon,Gross Domestic Product,2009,At Current Prices,854442889.0
Central Luzon,Gross Domestic Product,2010,At Constant 2018 Prices,1143777786.0
Central Luzon,Gross Domestic Product,2010,At Current Prices,979287700.0
Central Luzon,Gross Domestic Product,2011,At Constant 2018 Prices,1233431610.0
Central Luzon,Gross Domestic Product,2011,At Current Prices,1096258667.0
Central Luzon,Gross Domestic Product,2012,At Constant 2018 Prices,1336963348.0
Central Luzon,Gross Domestic Product,2012,At Current Prices,1206580595.0
Central Luzon,Gross Domestic Product,2013,At Constant 2018 Prices,1417025690.0
Central Luzon,Gross Domestic Product,2013,At Current Prices,1306617621.0
Central Luzon,Gross Domestic Product,2014,At Constant 2018 Prices,1526621058.0
Central Luzon,Gross Domestic Product,2014,At Current Prices,1461916690.0
Central Luzon,Gross Domestic Product,2015,At Constant 2018 Prices,1619134911.0
Central Luzon,Gross Domestic Product,2015,At Current Prices,1511232438.0
Central Luzon,Gross Domestic Product,2016,At Constant 2018 Prices,1747565400.0
Central Luzon,Gross Domestic Product,2016,At Current Prices,1640708336.0
Central Luzon,Gross Domestic Product,2017,At Constant 2018 Prices,1929193858.0
Central Luzon,Gross Domestic Product,2017,At Current Prices,1860323671.0
Central Luzon,Gross Domestic Product,2018,At Constant 2018 Prices,2062393875.0
Central Luzon,Gross Domestic Product,2018,At Current Prices,2062393875.0
Central Luzon,Gross Domestic Product,2019,At Constant 2018 Prices,2183779631.0
Central Luzon,Gross Domestic Product,2019,At Current Prices,2184815143.0
Central Luzon,Gross Domestic Product,2020,At Constant 2018 Prices,1881277315.0
Central Luzon,Gross Domestic Product,2020,At Current Prices,1864111182.0
Central Luzon,Gross Domestic Product,2021,At Constant 2018 Prices,2021186175.0
Central Luzon,Gross Domestic Product,2021,At Current Prices,2062335867.0
Central Luzon,Gross Domestic Product,2022,At Constant 2018 Prices,4369569390.0
Central Luzon,Gross Domestic Product,2022,At Current Prices,4734501920.0
Central Luzon,Gross Domestic Product,2023,At Constant 2018 Prices,4635402950.0
Central Luzon,Gross Domestic Product,2023,At Current Prices,5297131451.0
Central Luzon,Gross Domestic Product,2024,At Constant 2018 Prices,2467916743.0
Central Luzon,Gross Domestic Product,2024,At Current Prices,2892168121.0
Central Luzon,Industry,2000,At Constant 2018 Prices,274713944.0
Central Luzon,Industry,2000,At Current Prices,149973055.0
Central Luzon,Industry,2001,At Constant 2018 Prices,283506922.0
Central Luzon,Industry,2001,At Current Prices,160237316.0
Central Luzon,Industry,2002,At Constant 2018 Prices,304137151.0
Central Luzon,Industry,2002,At Current Prices,181420601.0
Central Luzon,Industry,2003,At Constant 2018 Prices,312740978.0
Central Luzon,Industry,2003,At Current Prices,198195306.0
Central Luzon,Industry,2004,At Constant 2018 Prices,307362921.0
Central Luzon,Industry,2004,At Current Prices,211126150.0
Central Luzon,Industry,2005,At Constant 2018 Prices,312387234.0
Central Luzon,Industry,2005,At Current Prices,230436403.0
Central Luzon,Industry,2006,At Constant 2018 Prices,319142152.0
Central Luzon,Industry,2006,At Current Prices,248463314.0
Central Luzon,Industry,2007,At Constant 2018 Prices,325341945.0
Central Luzon,Industry,2007,At Current Prices,258059911.0
Central Luzon,Industry,2008,At Constant 2018 Prices,344353579.0
Central Luzon,Industry,2008,At Current Prices,293750839.0
Central Luzon,Industry,2009,At Constant 2018 Prices,335665319.0
Central Luzon,Industry,2009,At Current Prices,281823162.0
Central Luzon,Industry,2010,At Constant 2018 Prices,407821945.0
Central Luzon,Industry,2010,At Current Prices,356006602.0
Central Luzon,Industry,2011,At Constant 2018 Prices,467686076.0
Central Luzon,Industry,2011,At Current Prices,423050200.0
Central Luzon,Industry,2012,At Constant 2018 Prices,514804721.0
Central Luzon,Industry,2012,At Current Prices,472765691.0
Central Luzon,Industry,2013,At Constant 2018 Prices,534101769.0
Central Luzon,Industry,2013,At Current Prices,493165076.0
Central Luzon,Industry,2014,At Constant 2018 Prices,594798739.0
Central Luzon,Industry,2014,At Current Prices,568626755.0
Central Luzon,Industry,2015,At Constant 2018 Prices,632242382.0
Central Luzon,Industry,2015,At Current Prices,586443345.0
Central Luzon,Industry,2016,At Constant 2018 Prices,701189880.0
Central Luzon,Industry,2016,At Current Prices,649222118.0
Central Luzon,Industry,2017,At Constant 2018 Prices,819022643.0
Central Luzon,Industry,2017,At Current Prices,771732585.0
Central Luzon,Industry,2018,At Constant 2018 Prices,880191747.0
Central Luzon,Industry,2018,At Current Prices,880191747.0
Central Luzon,Industry,2019,At Constant 2018 Prices,936035540.0
Central Luzon,Industry,2019,At Current Prices,960971397.0
Central Luzon,Industry,2020,At Constant 2018 Prices,749672601.0
Central Luzon,Industry,2020,At Current Prices,712818815.0
Central Luzon,Industry,2021,At Constant 2018 Prices,853508939.0
Central Luzon,Industry,2021,At Current Prices,827398190.0
Central Luzon,Industry,2022,At Constant 2018 Prices,1858723040.0
Central Luzon,Industry,2022,At Current Prices,1946777640.0
Central Luzon,Industry,2023,At Constant 2018 Prices,1961421432.0
Central Luzon,Industry,2023,At Current Prices,2138850267.0
Central Luzon,Industry,2024,At Constant 2018 Prices,1052171581.0
Central Luzon,Industry,2024,At Current Prices,1159612950.0
Central Luzon,Services,2000,At Constant 2018 Prices,325474872.0
Central Luzon,Services,2000,At Current Prices,158144701.0
Central Luzon,Services,2001,At Constant 2018 Prices,347299495.0
Central Luzon,Services,2001,At Current Prices,177728694.0
Central Luzon,Services,2002,At Constant 2018 Prices,366272723.0
Central Luzon,Services,2002,At Current Prices,198232381.0
Central Luzon,Services,2003,At Constant 2018 Prices,387174063.0
Central Luzon,Services,2003,At Current Prices,223451879.0
Central Luzon,Services,2004,At Constant 2018 Prices,422521264.0
Central Luzon,Services,2004,At Current Prices,255727940.0
Central Luzon,Services,2005,At Constant 2018 Prices,445756378.0
Central Luzon,Services,2005,At Current Prices,287234367.0
Central Luzon,Services,2006,At Constant 2018 Prices,476088592.0
Central Luzon,Services,2006,At Current Prices,323664595.0
Central Luzon,Services,2007,At Constant 2018 Prices,517980449.0
Central Luzon,Services,2007,At Current Prices,357969085.0
Central Luzon,Services,2008,At Constant 2018 Prices,548816462.0
Central Luzon,Services,2008,At Current Prices,408024326.0
Central Luzon,Services,2009,At Constant 2018 Prices,576251890.0
Central Luzon,Services,2009,At Current Prices,443527800.0
Central Luzon,Services,2010,At Constant 2018 Prices,621273841.0
Central Luzon,Services,2010,At Current Prices,494698768.0
Central Luzon,Services,2011,At Constant 2018 Prices,663729520.0
Central Luzon,Services,2011,At Current Prices,550626456.0
Central Luzon,Services,2012,At Constant 2018 Prices,702011920.0
Central Luzon,Services,2012,At Current Prices,609825518.0
Central Luzon,Services,2013,At Constant 2018 Prices,750627370.0
Central Luzon,Services,2013,At Current Prices,681770846.0
Central Luzon,Services,2014,At Constant 2018 Prices,801238754.0
Central Luzon,Services,2014,At Current Prices,748105570.0
Central Luzon,Services,2015,At Constant 2018 Prices,863463535.0
Central Luzon,Services,2015,At Current Prices,816185116.0
Central Luzon,Services,2016,At Constant 2018 Prices,936401141.0
Central Luzon,Services,2016,At Current Prices,903260344.0
Central Luzon,Services,2017,At Constant 2018 Prices,1004757923.0
Central Luzon,Services,2017,At Current Prices,990627480.0
Central Luzon,Services,2018,At Constant 2018 Prices,1082039159.0
Central Luzon,Services,2018,At Current Prices,1082039159.0
Central Luzon,Services,2019,At Constant 2018 Prices,1154540769.0
Central Luzon,Services,2019,At Current Prices,1171505291.0
Central Luzon,Services,2020,At Constant 2018 Prices,1022946481.0
Central Luzon,Services,2020,At Current Prices,1056961412.0
Central Luzon,Services,2021,At Constant 2018 Prices,1083315203.0
Central Luzon,Services,2021,At Current Prices,1135781382.0
Central Luzon,Services,2022,At Constant 2018 Prices,2368576944.0
Central Luzon,Services,2022,At Current Prices,2585316074.0
Central Luzon,Services,2023,At Constant 2018 Prices,2562164742.0
Central Luzon,Services,2023,At Current Prices,2956129020.0
Central Luzon,Services,2024,At Constant 2018 Prices,1378454028.0
Central Luzon,Services,2024,At Current Prices,1649802529.0
Central Visayas,"Agriculture, forestry, and fishing",2000,At Constant 2018 Prices,54045272.0
Central Visayas,"Agriculture, forestry, and fishing",2000,At Current Prices,25371567.0
Central Visayas,"Agriculture, forestry, and fishing",2001,At Constant 2018 Prices,57151154.0
Central Visayas,"Agriculture, forestry, and fishing",2001,At Current Prices,26427573.0
Central Visayas,"Agriculture, forestry, and fishing",2002,At Constant 2018 Prices,58582337.0
Central Visayas,"Agriculture, forestry, and fishing",2002,At Current Prices,29790010.0
Central Visayas,"Agriculture, forestry, and fishing",2003,At Constant 2018 Prices,60811690.0
Central Visayas,"Agriculture, forestry, and fishing",2003,At Current Prices,28809537.0
Central Visayas,"Agriculture, forestry, and fishing",2004,At Constant 2018 Prices,63047229.0
Central Visayas,"Agriculture, forestry, and fishing",2004,At Current Prices,34943192.0
Central Visayas,"Agriculture, forestry, and fishing",2005,At Constant 2018 Prices,64990098.0
Central Visayas,"Agriculture, forestry, and fishing",2005,At Current Prices,36466694.0
Central Visayas,"Agriculture, forestry, and fishing",2006,At Constant 2018 Prices,61940740.0
Central Visayas,"Agriculture, forestry, and fishing",2006,At Current Prices,38336881.0
Central Visayas,"Agriculture, forestry, and fishing",2007,At Constant 2018 Prices,65112693.0
Central Visayas,"Agriculture, forestry, and fishing",2007,At Current Prices,41750652.0
Central Visayas,"Agriculture, forestry, and fishing",2008,At Constant 2018 Prices,65948597.0
Central Visayas,"Agriculture, forestry, and fishing",2008,At Current Prices,48445734.0
Central Visayas,"Agriculture, forestry, and fishing",2009,At Constant 2018 Prices,66856071.0
Central Visayas,"Agriculture, forestry, and fishing",2009,At Current Prices,53351637.0
Central Visayas,"Agriculture, forestry, and fishing",2010,At Constant 2018 Prices,69499091.0
Central Visayas,"Agriculture, forestry, and fishing",2010,At Current Prices,54808347.0
Central Visayas,"Agriculture, forestry, and fishing",2011,At Constant 2018 Prices,72603632.0
Central Visayas,"Agriculture, forestry, and fishing",2011,At Current Prices,59985530.0
Central Visayas,"Agriculture, forestry, and fishing",2012,At Constant 2018 Prices,71685584.0
Central Visayas,"Agriculture, forestry, and fishing",2012,At Current Prices,65649179.0
Central Visayas,"Agriculture, forestry, and fishing",2013,At Constant 2018 Prices,72960635.0
